Code,CARRIER,MONTH,DAY_OF_WEEK,NUMBER_OF_FLIGHTS,DISTANCE,AIR_TIME,DEP_DELAY,ARR_DELAY,TAXI_IN,TAXI_OUT
AA,American Airlines Inc.,5,4,10524,1001.0,136.0,12.0,10.0,9.0,19.0
AA,American Airlines Inc.,5,5,10472,1000.0,135.0,11.0,7.0,9.0,18.0
AA,American Airlines Inc.,5,6,8742,1066.0,142.0,6.0,-1.0,9.0,17.0
AA,American Airlines Inc.,5,7,12365,1023.0,138.0,7.0,2.0,9.0,17.0
AA,American Airlines Inc.,6,1,10718,1042.0,139.0,16.0,13.0,10.0,18.0
AA,American Airlines Inc.,6,2,10525,1039.0,139.0,17.0,16.0,10.0,20.0
AA,American Airlines Inc.,6,3,13263,1035.0,138.0,14.0,11.0,10.0,19.0
AA,American Airlines Inc.,6,4,13543,1044.0,140.0,18.0,18.0,10.0,20.0
AA,American Airlines Inc.,6,5,10827,1042.0,139.0,13.0,11.0,10.0,19.0
AA,American Airlines Inc.,6,6,9365,1111.0,146.0,12.0,7.0,9.0,17.0
AA,American Airlines Inc.,6,7,10298,1077.0,143.0,15.0,12.0,10.0,18.0
AA,American Airlines Inc.,7,1,10377,1050.0,140.0,17.0,14.0,10.0,19.0
AA,American Airlines Inc.,7,2,10504,1042.0,138.0,13.0,11.0,10.0,19.0
AA,American Airlines Inc.,7,3,10740,1045.0,139.0,13.0,11.0,9.0,20.0
AA,American Airlines Inc.,7,4,10641,1053.0,140.0,19.0,18.0,10.0,20.0
AA,American Airlines Inc.,7,5,13371,1048.0,140.0,21.0,20.0,10.0,19.0
AA,American Airlines Inc.,7,6,11539,1111.0,146.0,17.0,14.0,10.0,18.0
AA,American Airlines Inc.,7,7,12740,1077.0,142.0,14.0,9.0,10.0,17.0
AA,American Airlines Inc.,8,1,13202,1030.0,137.0,15.0,12.0,10.0,19.0
AA,American Airlines Inc.,8,2,12604,1015.0,136.0,10.0,8.0,9.0,19.0
AA,American Airlines Inc.,8,3,13015,1015.0,136.0,10.0,8.0,10.0,19.0
AA,American Airlines Inc.,8,4,10618,1031.0,138.0,14.0,12.0,10.0,20.0
AA,American Airlines Inc.,8,5,10273,1035.0,139.0,19.0,19.0,10.0,20.0
AA,American Airlines Inc.,8,6,8717,1099.0,145.0,24.0,21.0,10.0,19.0
AA,American Airlines Inc.,8,7,9997,1064.0,141.0,15.0,12.0,10.0,19.0
AA,American Airlines Inc.,9,1,10073,982.0,132.0,8.0,4.0,9.0,19.0
AA,American Airlines Inc.,9,2,9383,974.0,131.0,3.0,-2.0,9.0,18.0
AA,American Airlines Inc.,9,3,9987,973.0,131.0,6.0,4.0,9.0,20.0
AA,American Airlines Inc.,9,4,12741,981.0,132.0,7.0,4.0,9.0,19.0
AA,American Airlines Inc.,9,5,12741,980.0,132.0,7.0,3.0,9.0,19.0
AA,American Airlines Inc.,9,6,7945,1035.0,138.0,3.0,-3.0,9.0,17.0
AA,American Airlines Inc.,9,7,9233,1012.0,135.0,7.0,2.0,10.0,18.0
AA,American Airlines Inc.,10,1,12420,985.0,132.0,4.0,-1.0,9.0,18.0
AA,American Airlines Inc.,10,2,9805,976.0,131.0,2.0,-4.0,9.0,18.0
AA,American Airlines Inc.,10,3,10049,983.0,132.0,3.0,-1.0,9.0,19.0
AA,American Airlines Inc.,10,4,9955,987.0,134.0,6.0,3.0,9.0,19.0
AA,American Airlines Inc.,10,5,9909,994.0,134.0,7.0,3.0,9.0,19.0
AA,American Airlines Inc.,10,6,10160,1046.0,139.0,5.0,-2.0,9.0,17.0
AA,American Airlines Inc.,10,7,11962,1014.0,135.0,6.0,1.0,9.0,18.0
AA,American Airlines Inc.,11,1,9811,994.0,135.0,8.0,3.0,9.0,19.0
AA,American Airlines Inc.,11,2,12254,979.0,132.0,4.0,-1.0,9.0,18.0
AA,American Airlines Inc.,11,3,12379,982.0,133.0,3.0,-2.0,9.0,19.0
AA,American Airlines Inc.,11,4,9020,993.0,133.0,4.0,-3.0,9.0,18.0
AA,American Airlines Inc.,11,5,9735,999.0,134.0,4.0,-1.0,9.0,19.0
AA,American Airlines Inc.,11,6,8578,1051.0,140.0,3.0,-6.0,9.0,17.0
AA,American Airlines Inc.,11,7,9774,1021.0,137.0,4.0,-2.0,9.0,18.0
AA,American Airlines Inc.,12,1,9719,1024.0,140.0,9.0,5.0,9.0,18.0
AA,American Airlines Inc.,12,2,9543,1021.0,139.0,6.0,2.0,9.0,18.0
AA,American Airlines Inc.,12,3,9863,1022.0,139.0,6.0,3.0,9.0,18.0
AA,American Airlines Inc.,12,4,12473,1030.0,140.0,9.0,6.0,9.0,19.0
AA,American Airlines Inc.,12,5,12514,1033.0,140.0,8.0,5.0,9.0,19.0
AA,American Airlines Inc.,12,6,9979,1083.0,146.0,14.0,10.0,9.0,19.0
AA,American Airlines Inc.,12,7,9029,1045.0,142.0,15.0,11.0,9.0,18.0
AS,Alaska Airlines Inc.,1,1,1831,1225.0,162.0,4.0,-1.0,7.0,16.0
AS,Alaska Airlines Inc.,1,2,1762,1191.0,159.0,2.0,-2.0,6.0,15.0
AS,Alaska Airlines Inc.,1,3,1795,1222.0,162.0,-0.0,-5.0,7.0,15.0
AS,Alaska Airlines Inc.,1,4,1864,1224.0,162.0,-2.0,-6.0,6.0,16.0
AS,Alaska Airlines Inc.,1,5,2319,1240.0,163.0,-0.0,-6.0,7.0,16.0
AS,Alaska Airlines Inc.,1,6,2153,1253.0,165.0,1.0,-5.0,6.0,15.0
AS,Alaska Airlines Inc.,1,7,2292,1234.0,162.0,2.0,-3.0,7.0,16.0
AS,Alaska Airlines Inc.,2,1,2334,1210.0,160.0,-0.0,-5.0,7.0,15.0
AS,Alaska Airlines Inc.,2,2,1800,1183.0,157.0,-1.0,-6.0,7.0,15.0
AS,Alaska Airlines Inc.,2,3,1807,1210.0,160.0,1.0,-4.0,7.0,15.0
AS,Alaska Airlines Inc.,2,4,1878,1227.0,162.0,-2.0,-8.0,6.0,15.0
AS,Alaska Airlines Inc.,2,5,1876,1244.0,165.0,-1.0,-5.0,6.0,15.0
AS,Alaska Airlines Inc.,2,6,1713,1262.0,166.0,-2.0,-9.0,6.0,14.0
AS,Alaska Airlines Inc.,2,7,1848,1228.0,162.0,-0.0,-5.0,7.0,15.0
AS,Alaska Airlines Inc.,3,1,1940,1234.0,163.0,1.0,-1.0,6.0,15.0
AS,Alaska Airlines Inc.,3,2,2264,1200.0,159.0,0.0,-2.0,7.0,15.0
AS,Alaska Airlines Inc.,3,3,2340,1220.0,162.0,-0.0,-2.0,6.0,15.0
AS,Alaska Airlines Inc.,3,4,2440,1229.0,163.0,2.0,0.0,6.0,15.0
AS,Alaska Airlines Inc.,3,5,1952,1235.0,163.0,2.0,-1.0,6.0,15.0
AS,Alaska Airlines Inc.,3,6,1781,1272.0,167.0,0.0,-5.0,6.0,14.0
AS,Alaska Airlines Inc.,3,7,1907,1244.0,164.0,2.0,-1.0,7.0,15.0
AS,Alaska Airlines Inc.,4,1,2001,1218.0,160.0,1.0,-2.0,7.0,15.0
AS,Alaska Airlines Inc.,4,2,1873,1201.0,159.0,-3.0,-5.0,6.0,15.0
AS,Alaska Airlines Inc.,4,3,1924,1221.0,161.0,-2.0,-5.0,6.0,14.0
AS,Alaska Airlines Inc.,4,4,2029,1225.0,161.0,-2.0,-5.0,7.0,15.0
AS,Alaska Airlines Inc.,4,5,2542,1226.0,162.0,-0.0,-2.0,7.0,15.0
AS,Alaska Airlines Inc.,4,6,2306,1268.0,166.0,-1.0,-5.0,6.0,14.0
AS,Alaska Airlines Inc.,4,7,1953,1240.0,163.0,1.0,-1.0,7.0,15.0
AS,Alaska Airlines Inc.,5,1,2532,1206.0,159.0,-2.0,-5.0,6.0,14.0
AS,Alaska Airlines Inc.,5,2,2390,1189.0,156.0,-2.0,-5.0,6.0,15.0
AS,Alaska Airlines Inc.,5,3,1962,1212.0,160.0,-2.0,-3.0,6.0,15.0
AS,Alaska Airlines Inc.,5,4,2035,1215.0,160.0,-1.0,-3.0,7.0,15.0
AS,Alaska Airlines Inc.,5,5,2046,1219.0,160.0,1.0,-1.0,7.0,15.0
AS,Alaska Airlines Inc.,5,6,1864,1258.0,164.0,-2.0,-7.0,6.0,14.0
AS,Alaska Airlines Inc.,5,7,2492,1237.0,162.0,-3.0,-6.0,6.0,14.0
AS,Alaska Airlines Inc.,6,1,2118,1217.0,159.0,-0.0,-1.0,7.0,16.0
AS,Alaska Airlines Inc.,6,2,2059,1204.0,158.0,0.0,0.0,7.0,16.0
AS,Alaska Airlines Inc.,6,3,2579,1216.0,158.0,0.0,-2.0,7.0,15.0
AS,Alaska Airlines Inc.,6,4,2653,1219.0,160.0,3.0,3.0,7.0,16.0
AS,Alaska Airlines Inc.,6,5,2156,1226.0,161.0,2.0,2.0,7.0,16.0
AS,Alaska Airlines Inc.,6,6,1991,1241.0,162.0,1.0,-1.0,7.0,15.0
AS,Alaska Airlines Inc.,6,7,2095,1225.0,160.0,-1.0,-3.0,7.0,15.0
AS,Alaska Airlines Inc.,7,1,2086,1228.0,160.0,-1.0,-4.0,7.0,15.0
AS,Alaska Airlines Inc.,7,2,2051,1209.0,158.0,-1.0,-2.0,7.0,15.0
AS,Alaska Airlines Inc.,7,3,2079,1218.0,158.0,-1.0,-3.0,7.0,15.0
AS,Alaska Airlines Inc.,7,4,2139,1219.0,159.0,-0.0,-1.0,7.0,16.0
AS,Alaska Airlines Inc.,7,5,2710,1235.0,161.0,2.0,1.0,7.0,16.0
AS,Alaska Airlines Inc.,7,6,2529,1240.0,161.0,-0.0,-4.0,6.0,15.0
AS,Alaska Airlines Inc.,7,7,2619,1225.0,159.0,-1.0,-4.0,7.0,15.0
AS,Alaska Airlines Inc.,8,1,2664,1212.0,158.0,1.0,-2.0,7.0,15.0
AS,Alaska Airlines Inc.,8,2,2570,1195.0,156.0,2.0,0.0,7.0,16.0
AS,Alaska Airlines Inc.,8,3,2607,1212.0,158.0,0.0,-1.0,7.0,16.0
AS,Alaska Airlines Inc.,8,4,2178,1216.0,159.0,-1.0,-2.0,7.0,16.0
AS,Alaska Airlines Inc.,8,5,2207,1225.0,160.0,0.0,-1.0,7.0,16.0
AS,Alaska Airlines Inc.,8,6,2074,1233.0,160.0,1.0,-2.0,7.0,15.0
AS,Alaska Airlines Inc.,8,7,2098,1220.0,159.0,0.0,-2.0,7.0,16.0
AS,Alaska Airlines Inc.,9,1,1881,1198.0,156.0,-2.0,-4.0,7.0,15.0
AS,Alaska Airlines Inc.,9,2,1752,1173.0,154.0,-2.0,-4.0,7.0,16.0
AS,Alaska Airlines Inc.,9,3,1811,1201.0,157.0,-1.0,-2.0,7.0,16.0
AS,Alaska Airlines Inc.,9,4,2360,1202.0,157.0,-1.0,-2.0,7.0,15.0
AS,Alaska Airlines Inc.,9,5,2395,1212.0,159.0,-0.0,-1.0,7.0,16.0
AS,Alaska Airlines Inc.,9,6,1771,1248.0,162.0,-3.0,-5.0,7.0,15.0
AS,Alaska Airlines Inc.,9,7,1832,1219.0,158.0,-2.0,-4.0,7.0,15.0
AS,Alaska Airlines Inc.,10,1,2314,1203.0,158.0,-0.0,-2.0,7.0,16.0
AS,Alaska Airlines Inc.,10,2,1731,1181.0,156.0,-3.0,-6.0,7.0,15.0
AS,Alaska Airlines Inc.,10,3,1797,1193.0,157.0,-2.0,-4.0,7.0,15.0
AS,Alaska Airlines Inc.,10,4,1844,1197.0,159.0,-0.0,-0.0,7.0,16.0
AS,Alaska Airlines Inc.,10,5,1867,1210.0,159.0,6.0,4.0,7.0,16.0
AS,Alaska Airlines Inc.,10,6,2151,1254.0,164.0,-1.0,-4.0,7.0,15.0
AS,Alaska Airlines Inc.,10,7,2271,1216.0,159.0,0.0,-2.0,7.0,16.0
AS,Alaska Airlines Inc.,11,1,1923,1241.0,163.0,1.0,-2.0,7.0,15.0
AS,Alaska Airlines Inc.,11,2,2280,1213.0,159.0,-2.0,-6.0,7.0,15.0
AS,Alaska Airlines Inc.,11,3,2293,1231.0,162.0,-2.0,-4.0,7.0,16.0
AS,Alaska Airlines Inc.,11,4,1810,1254.0,164.0,-1.0,-5.0,7.0,15.0
AS,Alaska Airlines Inc.,11,5,1882,1243.0,162.0,-0.0,-4.0,7.0,15.0
AS,Alaska Airlines Inc.,11,6,1815,1288.0,168.0,-1.0,-5.0,7.0,15.0
AS,Alaska Airlines Inc.,11,7,1914,1250.0,164.0,-0.0,-3.0,7.0,16.0
AS,Alaska Airlines Inc.,12,1,1867,1264.0,168.0,16.0,17.0,9.0,18.0
AS,Alaska Airlines Inc.,12,2,1800,1238.0,165.0,1.0,-2.0,7.0,17.0
AS,Alaska Airlines Inc.,12,3,1864,1246.0,164.0,5.0,3.0,7.0,17.0
AS,Alaska Airlines Inc.,12,4,2308,1261.0,166.0,5.0,3.0,7.0,17.0
AS,Alaska Airlines Inc.,12,5,2361,1274.0,168.0,11.0,11.0,7.0,19.0
AS,Alaska Airlines Inc.,12,6,2205,1321.0,174.0,8.0,4.0,7.0,16.0
AS,Alaska Airlines Inc.,12,7,1807,1284.0,169.0,4.0,1.0,7.0,17.0
B6,JetBlue Airways,1,1,3044,1079.0,147.0,18.0,15.0,6.0,18.0
B6,JetBlue Airways,1,2,2902,1032.0,142.0,9.0,4.0,6.0,17.0
B6,JetBlue Airways,1,3,2906,1037.0,143.0,9.0,5.0,6.0,17.0
B6,JetBlue Airways,1,4,3023,1069.0,147.0,14.0,9.0,6.0,16.0
B6,JetBlue Airways,1,5,3711,1087.0,148.0,15.0,10.0,6.0,17.0
B6,JetBlue Airways,1,6,3019,1064.0,145.0,13.0,8.0,6.0,16.0
B6,JetBlue Airways,1,7,3464,1107.0,151.0,21.0,18.0,6.0,18.0
B6,JetBlue Airways,2,1,3607,1110.0,151.0,18.0,15.0,6.0,18.0
B6,JetBlue Airways,2,2,2849,1055.0,144.0,28.0,24.0,6.0,18.0
B6,JetBlue Airways,2,3,2833,1068.0,148.0,20.0,18.0,6.0,18.0
B6,JetBlue Airways,2,4,3059,1093.0,149.0,12.0,8.0,6.0,17.0
B6,JetBlue Airways,2,5,3015,1105.0,150.0,32.0,30.0,6.0,20.0
B6,JetBlue Airways,2,6,2790,1069.0,145.0,10.0,3.0,6.0,15.0
B6,JetBlue Airways,2,7,2989,1110.0,150.0,25.0,18.0,7.0,16.0
B6,JetBlue Airways,3,1,3104,1081.0,147.0,15.0,11.0,6.0,18.0
B6,JetBlue Airways,3,2,3795,1060.0,144.0,9.0,2.0,6.0,16.0
B6,JetBlue Airways,3,3,3816,1063.0,145.0,5.0,-1.0,6.0,16.0
B6,JetBlue Airways,3,4,3913,1081.0,148.0,14.0,11.0,6.0,18.0
B6,JetBlue Airways,3,5,3152,1082.0,148.0,17.0,15.0,6.0,19.0
B6,JetBlue Airways,3,6,2838,1078.0,146.0,16.0,11.0,6.0,17.0
B6,JetBlue Airways,3,7,3029,1099.0,149.0,12.0,6.0,6.0,17.0
B6,JetBlue Airways,4,1,3127,1084.0,147.0,13.0,8.0,6.0,17.0
B6,JetBlue Airways,4,2,3051,1070.0,145.0,6.0,-0.0,6.0,17.0
B6,JetBlue Airways,4,3,3094,1074.0,145.0,3.0,-5.0,6.0,16.0
B6,JetBlue Airways,4,4,3137,1083.0,147.0,13.0,8.0,6.0,17.0
B6,JetBlue Airways,4,5,3941,1086.0,149.0,11.0,8.0,7.0,18.0
B6,JetBlue Airways,4,6,3586,1079.0,146.0,11.0,5.0,6.0,16.0
B6,JetBlue Airways,4,7,3029,1102.0,148.0,17.0,11.0,6.0,17.0
B6,JetBlue Airways,5,1,3976,1058.0,144.0,7.0,2.0,6.0,16.0
B6,JetBlue Airways,5,2,3842,1048.0,143.0,8.0,3.0,7.0,17.0
B6,JetBlue Airways,5,3,3069,1057.0,144.0,12.0,7.0,7.0,17.0
B6,JetBlue Airways,5,4,3188,1052.0,143.0,10.0,5.0,7.0,17.0
B6,JetBlue Airways,5,5,3205,1052.0,142.0,11.0,6.0,7.0,17.0
B6,JetBlue Airways,5,6,2952,1050.0,142.0,4.0,-4.0,6.0,15.0
B6,JetBlue Airways,5,7,3883,1068.0,144.0,7.0,-1.0,6.0,16.0
B6,JetBlue Airways,6,1,3220,1075.0,144.0,6.0,-1.0,7.0,17.0
B6,JetBlue Airways,6,2,3096,1068.0,145.0,17.0,15.0,7.0,19.0
B6,JetBlue Airways,6,3,3910,1075.0,144.0,9.0,4.0,7.0,17.0
B6,JetBlue Airways,6,4,4012,1080.0,146.0,24.0,23.0,7.0,20.0
B6,JetBlue Airways,6,5,3217,1075.0,145.0,12.0,8.0,7.0,18.0
B6,JetBlue Airways,6,6,2985,1072.0,143.0,8.0,0.0,7.0,16.0
B6,JetBlue Airways,6,7,3156,1087.0,145.0,15.0,10.0,7.0,18.0
B6,JetBlue Airways,7,1,3128,1083.0,145.0,24.0,20.0,7.0,18.0
B6,JetBlue Airways,7,2,3163,1070.0,143.0,13.0,7.0,7.0,18.0
B6,JetBlue Airways,7,3,3213,1077.0,144.0,15.0,11.0,7.0,18.0
B6,JetBlue Airways,7,4,3162,1098.0,148.0,27.0,25.0,7.0,19.0
B6,JetBlue Airways,7,5,3993,1086.0,146.0,28.0,26.0,7.0,19.0
B6,JetBlue Airways,7,6,3726,1080.0,145.0,25.0,21.0,7.0,17.0
B6,JetBlue Airways,7,7,3957,1093.0,145.0,19.0,13.0,7.0,17.0
B6,JetBlue Airways,8,1,4043,1071.0,143.0,18.0,13.0,7.0,17.0
B6,JetBlue Airways,8,2,3887,1058.0,142.0,18.0,13.0,7.0,17.0
B6,JetBlue Airways,8,3,3895,1071.0,143.0,12.0,7.0,7.0,18.0
B6,JetBlue Airways,8,4,3200,1078.0,144.0,16.0,12.0,7.0,18.0
B6,JetBlue Airways,8,5,3181,1077.0,144.0,17.0,13.0,7.0,18.0
B6,JetBlue Airways,8,6,2979,1075.0,143.0,16.0,10.0,7.0,17.0
B6,JetBlue Airways,8,7,3187,1083.0,145.0,15.0,11.0,7.0,18.0
B6,JetBlue Airways,9,1,3080,1050.0,143.0,13.0,9.0,7.0,17.0
B6,JetBlue Airways,9,2,2866,1022.0,139.0,8.0,3.0,7.0,16.0
B6,JetBlue Airways,9,3,2814,1041.0,141.0,6.0,3.0,6.0,18.0
B6,JetBlue Airways,9,4,3845,1052.0,143.0,10.0,6.0,7.0,18.0
B6,JetBlue Airways,9,5,3895,1045.0,141.0,11.0,7.0,7.0,17.0
B6,JetBlue Airways,9,6,2685,1032.0,139.0,3.0,-4.0,6.0,15.0
B6,JetBlue Airways,9,7,3063,1051.0,140.0,6.0,-1.0,7.0,16.0
B6,JetBlue Airways,10,1,3873,1046.0,140.0,6.0,-0.0,7.0,16.0
B6,JetBlue Airways,10,2,2897,1040.0,140.0,5.0,-2.0,6.0,16.0
B6,JetBlue Airways,10,3,2920,1057.0,142.0,2.0,-4.0,7.0,16.0
B6,JetBlue Airways,10,4,2913,1045.0,142.0,11.0,8.0,7.0,17.0
B6,JetBlue Airways,10,5,2892,1052.0,142.0,15.0,11.0,7.0,18.0
B6,JetBlue Airways,10,6,3286,1042.0,140.0,8.0,1.0,6.0,15.0
B6,JetBlue Airways,10,7,3862,1051.0,142.0,17.0,12.0,7.0,17.0
B6,JetBlue Airways,11,1,3207,1058.0,142.0,7.0,-0.0,6.0,16.0
B6,JetBlue Airways,11,2,3768,1033.0,140.0,9.0,3.0,6.0,17.0
B6,JetBlue Airways,11,3,3766,1026.0,139.0,3.0,-4.0,7.0,16.0
B6,JetBlue Airways,11,4,2963,1054.0,141.0,-0.0,-8.0,7.0,16.0
B6,JetBlue Airways,11,5,3158,1073.0,144.0,3.0,-5.0,6.0,16.0
B6,JetBlue Airways,11,6,2846,1046.0,140.0,1.0,-7.0,6.0,15.0
B6,JetBlue Airways,11,7,3184,1078.0,145.0,10.0,3.0,7.0,16.0
B6,JetBlue Airways,12,1,3194,1057.0,145.0,18.0,15.0,7.0,18.0
B6,JetBlue Airways,12,2,3120,1042.0,143.0,9.0,5.0,7.0,17.0
B6,JetBlue Airways,12,3,3117,1048.0,143.0,9.0,4.0,7.0,17.0
B6,JetBlue Airways,12,4,4012,1065.0,147.0,15.0,13.0,7.0,18.0
B6,JetBlue Airways,12,5,4033,1062.0,145.0,12.0,8.0,7.0,17.0
B6,JetBlue Airways,12,6,3436,1068.0,145.0,26.0,22.0,7.0,17.0
B6,JetBlue Airways,12,7,3068,1084.0,147.0,21.0,16.0,7.0,16.0
DL,Delta Air Lines Inc.,1,1,9658,855.0,117.0,7.0,-2.0,7.0,19.0
DL,Delta Air Lines Inc.,1,2,9259,811.0,112.0,5.0,-4.0,7.0,18.0
DL,Delta Air Lines Inc.,1,3,9394,818.0,113.0,5.0,-4.0,7.0,18.0
DL,Delta Air Lines Inc.,1,4,9878,836.0,115.0,4.0,-4.0,7.0,18.0
DL,Delta Air Lines Inc.,1,5,11339,861.0,118.0,9.0,2.0,7.0,19.0
DL,Delta Air Lines Inc.,1,6,8449,912.0,123.0,10.0,2.0,7.0,18.0
DL,Delta Air Lines Inc.,1,7,10672,878.0,119.0,11.0,3.0,7.0,19.0
DL,Delta Air Lines Inc.,2,1,12429,840.0,116.0,7.0,-1.0,7.0,19.0
DL,Delta Air Lines Inc.,2,2,9528,820.0,113.0,15.0,7.0,7.0,19.0
DL,Delta Air Lines Inc.,2,3,9646,825.0,115.0,10.0,2.0,7.0,19.0
DL,Delta Air Lines Inc.,2,4,10020,840.0,115.0,7.0,-2.0,7.0,19.0
DL,Delta Air Lines Inc.,2,5,10087,842.0,115.0,9.0,-1.0,7.0,18.0
DL,Delta Air Lines Inc.,2,6,6936,904.0,122.0,2.0,-10.0,6.0,16.0
DL,Delta Air Lines Inc.,2,7,8643,869.0,118.0,3.0,-9.0,7.0,17.0
DL,Delta Air Lines Inc.,3,1,10489,860.0,117.0,6.0,-2.0,7.0,18.0
DL,Delta Air Lines Inc.,3,2,12709,837.0,115.0,4.0,-5.0,7.0,17.0
DL,Delta Air Lines Inc.,3,3,12771,850.0,117.0,4.0,-5.0,7.0,17.0
DL,Delta Air Lines Inc.,3,4,13080,861.0,119.0,9.0,2.0,7.0,18.0
DL,Delta Air Lines Inc.,3,5,10484,863.0,118.0,8.0,0.0,7.0,18.0
DL,Delta Air Lines Inc.,3,6,8393,909.0,123.0,6.0,-2.0,7.0,17.0
DL,Delta Air Lines Inc.,3,7,10084,876.0,119.0,5.0,-4.0,7.0,17.0
DL,Delta Air Lines Inc.,4,1,10717,837.0,114.0,5.0,-5.0,7.0,16.0
DL,Delta Air Lines Inc.,4,2,10503,820.0,113.0,2.0,-7.0,6.0,17.0
DL,Delta Air Lines Inc.,4,3,10570,822.0,113.0,3.0,-6.0,7.0,17.0
DL,Delta Air Lines Inc.,4,4,10787,839.0,115.0,5.0,-3.0,7.0,17.0
DL,Delta Air Lines Inc.,4,5,13425,844.0,116.0,6.0,-1.0,7.0,18.0
DL,Delta Air Lines Inc.,4,6,10254,872.0,118.0,6.0,-3.0,6.0,16.0
DL,Delta Air Lines Inc.,4,7,10204,853.0,116.0,5.0,-6.0,7.0,16.0
DL,Delta Air Lines Inc.,5,1,13501,839.0,114.0,5.0,-3.0,7.0,17.0
DL,Delta Air Lines Inc.,5,2,13432,818.0,112.0,4.0,-3.0,7.0,17.0
DL,Delta Air Lines Inc.,5,3,10779,822.0,113.0,6.0,-2.0,7.0,17.0
DL,Delta Air Lines Inc.,5,4,11032,838.0,115.0,7.0,1.0,7.0,18.0
DL,Delta Air Lines Inc.,5,5,11049,840.0,114.0,7.0,-0.0,7.0,17.0
DL,Delta Air Lines Inc.,5,6,8163,861.0,116.0,3.0,-5.0,6.0,15.0
DL,Delta Air Lines Inc.,5,7,12443,850.0,115.0,6.0,-3.0,7.0,16.0
DL,Delta Air Lines Inc.,6,1,11238,846.0,115.0,7.0,-1.0,7.0,18.0
DL,Delta Air Lines Inc.,6,2,11053,842.0,115.0,18.0,12.0,7.0,19.0
DL,Delta Air Lines Inc.,6,3,13879,840.0,114.0,6.0,-2.0,7.0,18.0
DL,Delta Air Lines Inc.,6,4,14189,853.0,116.0,11.0,4.0,7.0,19.0
DL,Delta Air Lines Inc.,6,5,11314,853.0,115.0,11.0,3.0,7.0,18.0
DL,Delta Air Lines Inc.,6,6,8806,888.0,119.0,6.0,-3.0,7.0,16.0
DL,Delta Air Lines Inc.,6,7,10786,861.0,116.0,12.0,4.0,7.0,18.0
DL,Delta Air Lines Inc.,7,1,10624,876.0,118.0,12.0,4.0,7.0,18.0
DL,Delta Air Lines Inc.,7,2,11252,867.0,117.0,16.0,8.0,7.0,18.0
DL,Delta Air Lines Inc.,7,3,11291,870.0,117.0,16.0,8.0,7.0,19.0
